PRINT LIST,WEBSITE,Venues/Locations,Brewery,Beer Name,Style,ABV,Description,Untappd url,Limited Release?,Other Info,
y,,The Union,Rhinegiest,Juicy Truth,Hazy IPA,6.5%,"Brimming with notes of Juicy pineapple, fresh Mango and bright citrus",https://untappd.com/b/rhinegeist-brewery-juicy-truth/1082937,,,
y,,The Union,Rhinegiest,Grapefruit Bubbles,fruit beer ,6.2%,Grapefruit Bubbles is a bright and sunny blend of apple and grapefruit,https://untappd.com/b/rhinegeist-brewery-grapefruit-bubbles/6667809,,,
y,,The Union,Rhinegiest,Expressionism,American Style IPA,6.3%,"Strawberry-banana, with some tropical notes,  pineapple/pasionfruit. Low/light bodied. Clear, pale yellow",https://untappd.com/b/rhinegeist-brewery-expressionism/5819017,,,
y,,The Union,Jackie O's,Homers Hazy,New England/Hazy IPA,6.6%,"Fruited, Hazy IPA brewed with bright and vibrant hops, pineapple and tangerine",https://untappd.com/b/jackie-o-s-brewery-homer-s-hazy/4870687,,,
y,,The Union,Devils Kettle ,Spider Silk,Blonde/Golden Ale,7.0%,"Light but strong blonde ale that artfully blends elements of English, German and american brewing ingredients and traditions",https://untappd.com/b/devil-s-kettle-brewing-spider-silk/1111997,,,
y,,The Union,Little Fish,Spruce Crispy,Lager - Pale,5.4%,"100 % Ohio-grown pale lager with spruce tips, chinook and Crystal Hops",https://untappd.com/b/little-fish-brewing-company-spruce-crispy/6299173,,,
y,,The Union,Garage Beer,Classic Lime,Lager - Pale,4.0%,Classic Light Beer with a hint of lime.  Small batch brewed,https://untappd.com/b/garage-beer-classic-lime-beer/4410368,,,
Y,,Tony's Tavern,Fat Head's Brewery,Lime Feelin' Good,Lime Cerveza,4.9%,Lightly hopped lager fermented with Mexican style lager yeast for authenticity and infused with dehydrated pulvarized limes. ,,,,
Y,,Tony's Tavern,Combustion Brewing,Strawberry Blonde,Fruited Ale,5.0%,"Wanderlust Blonde Ale with Strawberries. ""Like a liquid strawberry muffin""",,,,
Y,,Tony's Tavern,Combustion Brewing,Combustion IPA,American IPA,6.50%,"Vibrant tropical fruit, orange, mango, and notes of lemon. Huge Hop character + low bitterness = A highly drinkable IPA",,,,
Y,,Tony's Tavern,Phoenix Brewing Company,Buckeye Ferryman,Milk Stout,7.2%,Milk Stout with Peanut Butter & Chocolate,,,,
Y,,Tony's Tavern,Phoenix Brewing Company,Salty Mermaid,Gose,4.5%,"Margarita Gose with sea salt, watermelon & lime",,,,
,,Lucky's,Third Eye Brewing,Third Eye IPA,West Coast IPA,6.3%,"Dank, piney, and grapefruit hop flavors. ",,,,
,,Lucky's,Third Eye Brewing,Getting Twisted,German Pretzel Ale,5.2%,"German Barley, rye, and wheat migle with a touch of salt to deliver a one of a king liquor pretzel flavor",,,,
,,Lucky's,Wolf's Ridge Brewing,Walking Taco,Mexican Lager,4.5%,"A classic Mexican brew gets the Midwestern treatment! Like tasty tacos crunched up in your favorite bag of chips, our Mexican-style lager with lime is sure to be a crushable crowd pleaser for any occasion.",,,,
,,Lucky's,Wolf's Ridge Brewing,Trip Sitter,New England/Hazy IPA,6.5%,pineapple infused,,,,
,,,,,,,,,,,
,,The CI,Nocterra,Take A Hike,West Coast IPA,6.5%,"Brewed in partnership with Great Ohio Lodges and Ohio State Parks Foundation, Take A Hike is an IPA made for the trailblazer in all of us. Brewed with Citra, Mosaic and Simone hops. It delivers vibrant Burt's of citrus, tropical fruit and stone fruit layered over hints of pine and a crisp balanced bitterness.",https://untappd.com/b/nocterra-brewing-co-take-a-hike/6178456,,,
,,The CI,Nocterra,Beta Flash,NE IPA,6.5%,"It's double dry-hopped and packed full of citrus, grapefruit and hints of pineapple. ",https://untappd.com/b/nocterra-brewing-co-beta-flash/2895195,,,
,,The CI,Land Grant,Marimba,Pineapple Ale,5.20%,"This tart fruit beer is brewed with a simple base of Pilson malt and conditioned on huge portions of sweet pineapple concentrate. Notes of vibrant, tropical pineapple are balanced by a clean, refreshing snappy acidity with a light sweetness.",,,,
,,The CI,Land Grant,Dog Day,IPA,6.8 %,"American IPA brewed with Pilsner,Vienna, and Dextrin malt and hopped with Mosaic, El Dorado, and Krush. Bright golden with aromas of citrus and tropical fruit, followed by flavors of orange, mango, and stone fruit with firm bitterness and a clean, dry finish.",,,,
,,Eclipse ,Fat Head's Brewery,Bumble Berry,Honey Blueberry Ale,5.3%,"Brewed with spring honey and infused with fresh blueberry puree. Light, refreshing ale. ",,,,
